IEEE 14-BUS TEST CASE
BUS DATA FOLLOWS
  1 'BUS1'   230.00  3  0.0  0.0  0.0  0.0  0.0  0.0  1.060  0.000
  2 'BUS2'   230.00  2  21.7  12.7  40.0  0.0  0.0  0.0  1.045  0.000
  3 'BUS3'   230.00  2  94.2  19.0  0.0  0.0  0.0  0.0  1.010  0.000
  4 'BUS4'   230.00  1  47.8  -3.9  0.0  0.0  0.0  0.0  1.000  0.000
  5 'BUS5'   230.00  1  7.6   1.6   0.0  0.0  0.0  0.0  1.000  0.000
  6 'BUS6'   230.00  2  11.2  7.5   0.0  0.0  0.0  0.0  1.070  0.000
  7 'BUS7'   230.00  1  0.0   0.0   0.0  0.0  0.0  0.0  1.000  0.000
  8 'BUS8'   230.00  2  0.0   0.0   0.0  0.0  0.0  0.0  1.090  0.000
  9 'BUS9'   230.00  1  29.5  16.6  0.0  0.0  0.0  0.0  1.000  0.000
 10 'BUS10'  230.00  1  9.0   5.8   0.0  0.0  0.0  0.0  1.000  0.000
 11 'BUS11'  230.00  1  3.5   1.8   0.0  0.0  0.0  0.0  1.000  0.000
 12 'BUS12'  230.00  1  6.1   1.6   0.0  0.0  0.0  0.0  1.000  0.000
 13 'BUS13'  230.00  1  13.5  5.8   0.0  0.0  0.0  0.0  1.000  0.000
 14 'BUS14'  230.00  1  14.9  5.0   0.0  0.0  0.0  0.0  1.000  0.000
BRANCH DATA FOLLOWS
  1   2   0.01938  0.05917  0.0528  9900.0  1.0  0.0  1
  1   5   0.05403  0.22304  0.0492  9900.0  1.0  0.0  1
  2   3   0.04699  0.19797  0.0438  9900.0  1.0  0.0  1
  2   4   0.05811  0.17632  0.0340  9900.0  1.0  0.0  1
  2   5   0.05695  0.17388  0.0346  9900.0  1.0  0.0  1
  3   4   0.06701  0.17103  0.0128  9900.0  1.0  0.0  1
  4   5   0.01335  0.04211  0.0128  9900.0  1.0  0.0  1
  4   7   0.0      0.20912  0.0     9900.0  1.0  0.0  1
  4   9   0.0      0.55618  0.0     9900.0  1.0  0.0  1
  5   6   0.0      0.25202  0.0     9900.0  1.0  0.0  1
  6  11   0.09498  0.19890  0.0     9900.0  1.0  0.0  1
  6  12   0.12291  0.25581  0.0     9900.0  1.0  0.0  1
  6  13   0.06615  0.13027  0.0     9900.0  1.0  0.0  1
  7   8   0.0      0.17615  0.0     9900.0  1.0  0.0  1
  7   9   0.0      0.11001  0.0     9900.0  1.0  0.0  1
  9  10   0.03181  0.08450  0.0     9900.0  1.0  0.0  1
  9  14   0.12711  0.27038  0.0     9900.0  1.0  0.0  1
 10  11   0.08205  0.19207  0.0     9900.0  1.0  0.0  1
 12  13   0.22092  0.19988  0.0     9900.0  1.0  0.0  1
 13  14   0.17093  0.34802  0.0     9900.0  1.0  0.0  1
GENERATOR DATA FOLLOWS
  1  232.4   -16.9  999.0  -999.0  1.060  100.0  1
  2   40.0    42.4  50.0   -40.0  1.045  100.0  1
  3    0.0    23.4  40.0     0.0  1.010  100.0  1
  6    0.0    12.2  24.0   -6.0  1.070  100.0  1
  8    0.0    17.4  24.0   -6.0  1.090  100.0  1

